NAZIV,TIP,IDENT,TIP_SIF,A_SIFRA,A_NAZIV,KOLIÈINA,ALT_STATUS,ALT_AKT,DODATEK1,POZICIJA,A_DATUM_S,EAN,ID_ART,OPIS,OPIS2,EM1,FAKTOR,FAKT_EXP,PAKIRANJE,PAKIRANJEX,KLASIF,SKUPINA1,SKUPINA2,SKUPINA3,SKUPINA4,TIP_ART,MIN_ZALOGA,SIG_ZALOGA,GRUPA,GRUPA_EKO,V_ZALOGE,V_A_ZALOGE,V_MINUS,SKLADIŠÈE,TEŽA,TIP_CENE,ID_NORM,N_ENOTA,AKTIVEN,UPORABNIK,DAT_VNOSA,UPORABNIKS,DAT_SPREME,PROIZVAJAL,POREKLO,LETO_UVOZA,DOBAVITELJ,DOBAVIT_ID,DOBAVIT_IM,LOKACIJA,DEKLARA,CARIN_STOP,V_SERIS,NAZIV_ENG,KN,KONKRETNO,LASTNOST,STANDARD,KONTO,PAR_A,PAR_B,PAR_C,PAR_D,PAR_E,KARTON,MARŽA,MIN_MARZA,ROK_IZD,SLED,PRIPADA_N,VN_STATUS,SIRINA,DOLZINA,VISINA,KALO,KALO_DEC,KVALITETA,ABC,KONTROLA_P,GARANCIJA,GARANCIJAE,ATEST,STATUS,FANTOMSKI,NORMFIXKOL,FANTOM_KOL,SLIKA_PATH,KONTO_KONS,NORM_AVTO,FIFO,STM,OPT_KOL,KARANTENA,OPT_ZALOGA,MAX_ZALOGA,NAB_LETKOL,OPT_CAS,NAB_STRNAB,NAB_STRSKL,NAB_POVPZA,KONTO2,PRET_CAS,KALK_CENA,NACIN_FAK,ROK_UPORAB,PLU_KODA,OPT_KOL_PA,VOLUMEN,DEKADA,DEKADA_FAK,LANSAZA,CARIN_KOM,NALEPKA,DODATEK21,DODATEK22,DODATEK23,DODATEK51,DODATEK52,DODATEK53,DODATEK_1,DODATEK_2,DODATEK_3,DODATEK_4,DODATEK_5,PAKIRANJEP,INTRASTAT,EM_DAN,EM_DAN_TIP,MIN_ZAL1,SIG_ZAL1,OPT_ZAL1,MAX_ZAL1,MIN_ZAL2,SIG_ZAL2,OPT_ZAL2,MAX_ZAL2,MIN_ZAL3,SIG_ZAL3,OPT_ZAL3,MAX_ZAL3,TEZA_B,ABC_P,KN_P,ID_ART2,NACRT,TIP_NARO,NARO_TIP,ID_KOL,IDENT_PAK,IDENT_PAK2,PAKIRANJE2,VARIANTA,ROK_IZD1,ROK_IZD2,ROK_IZD3,ABC_X,ABC_V,STANJE,STANJE_KDO,STANJE_CAS,SN,IDG,DODATEK24,DODATEK25,SPL_STRAN,
TK. PES 55/40 KW19 BEKINOX Š.235 ELSIN,A,9910411,,9930035,TK. PES 5,5/4,0 KW19 BEKINOX Š.238 VDS,1,,,9910411                   2,2,.  .       :  :,,9910411,PES TKANINA Z BEKINOX FILAMENTOM VZOLŽNO IN PREÈNO,VZD./2 CM  , PREÈNO/3 CM,KOS,1,0,KOS,1,202060000,1,,202,,POM,0,0,A,,D,,N,,0,,,0,D,VY,3.04.2003 15:32,VX,19.08.2016 10:39,,,,,,,,0,,N,,,,,,31020,,,,,,,,N,,M,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9910411,
TK. PES 55/45 - 235CM KONUS S,A,9946978,,9949088,TK. PES 50/40 - 235CM KONUS S,1,,,,6,.  .       :  :,,9946978,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,29.07.2021 10:46,VY,12.05.2023 14:06,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,164030,2,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946978,,
TK. PES 55/45 BT Š.238 KONUS S,A,9945419,,9947775,TK. PES 50/40 BT Š.240 KONUS S,1,,,,3,.  .       :  :,,9945419,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,X,U5,5.06.2020 08:19,UZ,22.09.2022 14:47,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9945419,,,,
TK. PES 55/45 - 235CM KONUS S,A,9946978,,9948329,TK. PES 50/45 - 235CM KONUS S,1,,,,5,.  .       :  :,,9946978,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,29.07.2021 10:46,VY,12.05.2023 14:06,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,164030,2,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946978,,
TK. PES 55/45 BT Š.240 KONUS S,A,9947262,,9949087,TK. PES 50/45 BT Š.240 KONUS S 78/22,1,,,,2,.  .       :  :,,9947262,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,7.12.2021 09:35,VY,12.05.2023 14:08,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,S,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,126200,1,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9947262,,,
TK. PES 55/30 - 240CM VDS,A,9923769,,9908490,TK. PES 55/30 - 230CM WILKIE,1,,,,1,.  .       :  :,,9923769,TK.ZA FILTRE-ALTERNATIVA,PROIZVAJALEC ELSINHORST,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,,,0,D,U5,3.12.2008 08:59,VG,19.01.2012 13:37,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9923769,,,,
TK. PES 55/40 - 240CM Q3240 WILKIE,A,9905450,,9924309,TK. PES 55/30 - 238CM Q3308 WILKIE,1,,,,1,.  .       :  :,9905450,9905450,,PROIZVAJALEC WILKIE,M2,1,0,KOS,1,202010100,1,,202,,POM,0,0,A,,D,,N,22210,0,,,0,D,VL,18.06.2001 09:17,UZ,20.10.2021 13:04,,,,,,,,0,,N,,,,,,31020,9905450,,,,,,,N,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9905450,,,,
TK. PES 55/30 - 240CM VDS,A,9923769,,9924309,TK. PES 55/30 - 238CM Q3308 WILKIE,1,,,,2,.  .       :  :,,9923769,TK.ZA FILTRE-ALTERNATIVA,PROIZVAJALEC ELSINHORST,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,,,0,D,U5,3.12.2008 08:59,VG,19.01.2012 13:37,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9923769,,,,
TK. PES 55/40 - 240CM  MAJŠPERK,A,9924261,,9924309,TK. PES 55/30 - 238CM Q3308 WILKIE,1,,,9924261                   2,2,.  .       :  :,,9924261,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,6.04.2009 12:47,U5,12.02.2015 13:20,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924261,,,
TK. PES 55/30 - 240CM VDS,A,9923769,,9924865,TK. PES 55/30 - 238CM V0/V0 VDS,1,,,,3,.  .       :  :,,9923769,TK.ZA FILTRE-ALTERNATIVA,PROIZVAJALEC ELSINHORST,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,,,0,D,U5,3.12.2008 08:59,VG,19.01.2012 13:37,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9923769,,,,
TK. PES 55/40 - 240CM  MAJŠPERK,A,9924261,,9930334,TK. PES 55/35 - 240CM  TATKO,1,,,9924261                   1,1,.  .       :  :,,9924261,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,6.04.2009 12:47,U5,12.02.2015 13:20,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924261,,,
TK. PES 55/40 - 230CM  K0NUS S,A,9943064,,9944594,TK. PES 55/40 - 227CM  K0NUS S,1,,,,1,.  .       :  :,,9943064,1100DTEX , 106g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,21.11.2018 08:30,UZ,21.04.2020 07:45,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9943064,,,
TK. PES 55/40 - 227CM/K.Š.205-K0NUS S,A,9944594,,9943064,TK. PES 55/40 - 230CM  K0NUS S,1,,,,1,.  .       :  :,,9944594,1100DTEX , 106g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,18.11.2019 08:07,U5,18.08.2020 14:24,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944594,,,
TK. PES 55/40 - 240CM  KONUS S,A,9937865,,9944500,TK. PES 55/40 - 238CM  KONUS S,1,,,,4,.  .       :  :,,9937865,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,5.02.2015 10:59,VX,8.06.2020 13:59,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9937865,,,
TK. PES 55/30 - 238CM Q3308 WILKIE,A,9924309,,9937865,TK. PES 55/40 - 240CM  KONUS S,1,,,,1,.  .       :  :,,9924309,TK.ZA FILTRE,PROIZVAJALEC WILKIE,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,325,,,0,D,U5,15.04.2009 09:30,U5,3.05.2018 12:37,,GB,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924309,,,,
TK. PES 55/35 - 240CM/K.Š.215 KONUS-S,A,9930334,,9937865,TK. PES 55/40 - 240CM  KONUS S,1,,,,2,.  .       :  :,,9930334,1100DTEX , 95g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,5.09.2011 13:19,Y9,3.02.2020 08:53,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930334,,,
TK. PES 55/40 - 238CM/K.Š.215 KONUS S,A,9944500,,9937865,TK. PES 55/40 - 240CM  KONUS S,1,84,,,,1,.  .       :  :,,9944500,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,15.10.2019 14:56,VY,14.10.2022 11:11,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944500,,
TK. PES 55/40-240CM V0/V0 ELSINGHORST,A,9914811,,9924862,TK. PES 55/40 - 240CM Q3209 T0/T0 WILKIE,1,,,,1,.  .       :  :,,9914811,,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,VX,24.02.2005 14:52,Y4,15.07.2010 10:12,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,M,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9914811,,,,
TK. PES 55/40-240CM Q3271 WILKIE,A,9924512,,9924862,TK. PES 55/40 - 240CM Q3209 T0/T0 WILKIE,1,,,,1,.  .       :  :,,9924512,,,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,,,0,D,VX,26.05.2009 10:47,Y4,10.03.2010 08:47,,,,,,,,0,,N,,,,,,,,,,,,,,,,M,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924512,,,,
TK. PES 55/40 - 240CM  KONUS S,A,9937865,,9924862,TK. PES 55/40 - 240CM Q3209 T0/T0 WILKIE,1,,,,3,.  .       :  :,,9937865,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,5.02.2015 10:59,VX,8.06.2020 13:59,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9937865,,,
TK. PES 55/30 - 238CM Q3308 WILKIE,A,9924309,,9941751,TK. PES 55/40 - 243CM SLOVAN SUMTEX,1,,,,3,.  .       :  :,,9924309,TK.ZA FILTRE,PROIZVAJALEC WILKIE,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,325,,,0,D,U5,15.04.2009 09:30,U5,3.05.2018 12:37,,GB,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924309,,,,
TK. PES 55/35 - 240CM/K.Š.215 KONUS-S,A,9930334,,9941751,TK. PES 55/40 - 243CM SLOVAN SUMTEX,1,,,,3,.  .       :  :,,9930334,1100DTEX , 95g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,5.09.2011 13:19,Y9,3.02.2020 08:53,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930334,,,
TK. PES 55/40 - 240CM  KONUS S,A,9937865,,9941751,TK. PES 55/40 - 243CM SLOVAN SUMTEX,1,,,,1,.  .       :  :,,9937865,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,5.02.2015 10:59,VX,8.06.2020 13:59,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9937865,,,
TK. PES 55/40 BT Š.240 TATKO,A,9930336,,9932603,TK. PES 55/40 BT (SSF)-240CM Q3310 WILKI,1,,,,1,.  .       :  :,,9930336,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,5.09.2011 13:24,UZ,17.12.2020 12:34,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,B,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930336,,,,
TK. PES 55/40 BT Š.230 TATKO,A,9940246,,9944595,TK. PES 55/40 BT Š.227 KONUS S,1,,,,1,.  .       :  :,,9940246,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,F1,POM,0,0,A,,D,N,D,,0,,,0,D,U5,29.07.2016 14:44,UZ,1.10.2021 13:50,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9940246,,,,
TK. PES 55/40 BT Š.240 TATKO,A,9930336,,9944499,TK. PES 55/40 BT Š.238 KONUS S,1,,,,2,.  .       :  :,,9930336,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,5.09.2011 13:24,UZ,17.12.2020 12:34,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,B,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930336,,,,
TK. PES 55/40 KW19 BEKINOX Š.235 ELSIN,A,9910411,,9930336,TK. PES 55/40 BT Š.240 TATKO,1,,,9910411                   3,3,.  .       :  :,,9910411,PES TKANINA Z BEKINOX FILAMENTOM VZOLŽNO IN PREÈNO,VZD./2 CM  , PREÈNO/3 CM,KOS,1,0,KOS,1,202060000,1,,202,,POM,0,0,A,,D,,N,,0,,,0,D,VY,3.04.2003 15:32,VX,19.08.2016 10:39,,,,,,,,0,,N,,,,,,31020,,,,,,,,N,,M,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9910411,,,
TK. PES 55/40 KW19 BEKINOX Š.238 VDS,A,9930035,,9930336,TK. PES 55/40 BT Š.240 TATKO,1,,,9930035                   1,1,.  .       :  :,,9930035,PES 1100DTEX VO + BEKINOX NM 20/2 + O:11 NIT BEKIN,1/1PLAIN, KARA 2X2CM, VOTEK: 8 NIT BEKINOX,KOS,1,0,KOS,1,202060000,,,,,POM,0,0,A,,D,,N,,0,,,0,D,VX,25.07.2011 11:49,VX,19.08.2016 10:39,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930035,,
TK. PES 55/40 BT (SSF)-240CM Q3310 WILKI,A,9932603,,9930336,TK. PES 55/40 BT Š.240 TATKO,1,,,,1,.  .       :  :,,9932603,PES 1100DTEX  + SSF NM 36/2 + OSNOVA:11  KOV NIT,1/1PLAIN, KARA , VOTEK:8 KOV NIT,PRODUKT CODE 3310,KOS,1,0,KOS,1,202060000,,,,,POM,0,0,A,,D,,D,,0,1,,,0,D,U5,2.08.2012 11:01,U5,3.05.2018 12:41,,GB,,,,,,0,54071000,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9932603
TK. PES 55/40 BT Š.238/K.Š.215 KONUS S,A,9944499,,9930336,TK. PES 55/40 BT Š.240 TATKO,1,,,,1,.  .       :  :,,9944499,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,15.10.2019 14:55,UZ,13.09.2021 11:24,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,B,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944499,,,,
TK. PES 55/45 BT Š.251/K.Š.230 KONUS S,A,9945421,,9941388,TK. PES 55/40 BT Š.246 TATKO,1,,,,1,.  .       :  :,,9945421,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,5.06.2020 09:27,UZ,1.10.2021 13:56,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,21355,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9945421,,,,
TK. PES 55/40 BT25 Š240,A,9946182,,9946980,TK. PES 55/40 BT25 Š238,0,9916,,,,1,.  .       :  :,,9946182,TK.S KOV. NITMI VZ. IN PREÈNO 9945895-RAZVOJ IDENT,"VELIKOST KARE 2,5 X 2,5 CM;ŠIRINA 240 CM",M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,7.01.2021 15:25,VY,19.10.2022 13:23,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946182,,,
TK. PES 55/45 BT Š.238 KONUS S,A,9945419,,9946182,TK. PES 55/40 BT25 Š240,1,,,,5,.  .       :  :,,9945419,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,X,U5,5.06.2020 08:19,UZ,22.09.2022 14:47,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9945419,,,,
