NAZIV,TIP,IDENT,TIP_SIF,A_SIFRA,A_NAZIV,KOLIÈINA,ALT_STATUS,ALT_AKT,DODATEK1,POZICIJA,A_DATUM_S,EAN,ID_ART,OPIS,OPIS2,EM1,FAKTOR,FAKT_EXP,PAKIRANJE,PAKIRANJEX,KLASIF,SKUPINA1,SKUPINA2,SKUPINA3,SKUPINA4,TIP_ART,MIN_ZALOGA,SIG_ZALOGA,GRUPA,GRUPA_EKO,V_ZALOGE,V_A_ZALOGE,V_MINUS,SKLADIŠÈE,TEŽA,TIP_CENE,ID_NORM,N_ENOTA,AKTIVEN,UPORABNIK,DAT_VNOSA,UPORABNIKS,DAT_SPREME,PROIZVAJAL,POREKLO,LETO_UVOZA,DOBAVITELJ,DOBAVIT_ID,DOBAVIT_IM,LOKACIJA,DEKLARA,CARIN_STOP,V_SERIS,NAZIV_ENG,KN,KONKRETNO,LASTNOST,STANDARD,KONTO,PAR_A,PAR_B,PAR_C,PAR_D,PAR_E,KARTON,MARŽA,MIN_MARZA,ROK_IZD,SLED,PRIPADA_N,VN_STATUS,SIRINA,DOLZINA,VISINA,KALO,KALO_DEC,KVALITETA,ABC,KONTROLA_P,GARANCIJA,GARANCIJAE,ATEST,STATUS,FANTOMSKI,NORMFIXKOL,FANTOM_KOL,SLIKA_PATH,KONTO_KONS,NORM_AVTO,FIFO,STM,OPT_KOL,KARANTENA,OPT_ZALOGA,MAX_ZALOGA,NAB_LETKOL,OPT_CAS,NAB_STRNAB,NAB_STRSKL,NAB_POVPZA,KONTO2,PRET_CAS,KALK_CENA,NACIN_FAK,ROK_UPORAB,PLU_KODA,OPT_KOL_PA,VOLUMEN,DEKADA,DEKADA_FAK,LANSAZA,CARIN_KOM,NALEPKA,DODATEK21,DODATEK22,DODATEK23,DODATEK51,DODATEK52,DODATEK53,DODATEK_1,DODATEK_2,DODATEK_3,DODATEK_4,DODATEK_5,PAKIRANJEP,INTRASTAT,EM_DAN,EM_DAN_TIP,MIN_ZAL1,SIG_ZAL1,OPT_ZAL1,MAX_ZAL1,MIN_ZAL2,SIG_ZAL2,OPT_ZAL2,MAX_ZAL2,MIN_ZAL3,SIG_ZAL3,OPT_ZAL3,MAX_ZAL3,TEZA_B,ABC_P,KN_P,ID_ART2,NACRT,TIP_NARO,NARO_TIP,ID_KOL,IDENT_PAK,IDENT_PAK2,PAKIRANJE2,VARIANTA,ROK_IZD1,ROK_IZD2,ROK_IZD3,ABC_X,ABC_V,STANJE,STANJE_KDO,STANJE_CAS,SN,IDG,DODATEK24,DODATEK25,SPL_STRAN,
TK. META ARAMID 90/30-242CM Q8154 WILKIE,A,9941588,,9946468,TK. META ARAMID 90/30-235CM FIBERLANE,1,,,,1,.  .       :  :,,9941588,,,KOS,1,0,KOS,1,202040000,,,,,POM,0,0,A,,D,,D,,0,,,0,D,VX,6.10.2017 14:06,YV,28.05.2021 12:26,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941588,,,,
TK. META ARAMID 90/40-235CM FIBERLANE,A,9946175,,9946468,TK. META ARAMID 90/30-235CM FIBERLANE,1,,,,1,.  .       :  :,,9946175,Nm 40/2 warp/WEFT,,KOS,1,0,KOS,1,202040000,,,,,POM,0,0,A,,D,,D,,0,69,,,0,D,VX,6.01.2021 10:27,UZ,13.09.2021 11:23,,GB,,,,,,0,59119000,N,,,,,,,,,,,,,,,,B,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946175,,,
TK. META ARAMID 80/30-242CM FIBERLANE,A,9945500,,9941588,TK. META ARAMID 90/30-242CM Q8154 WILKIE,1,,,,1,.  .       :  :,,9945500,NM 40/2 WARP/WEFT,,KOS,1,0,KOS,1,202040000,,,,,POM,0,0,A,,D,,N,22210,0,,,0,D,VX,23.06.2020 08:15,U5,11.01.2021 11:51,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9945500,,,,
TK. META ARAMID 90/30-235CM FIBERLANE,A,9946468,,9946175,TK. META ARAMID 90/40-235CM FIBERLANE,1,,,,1,.  .       :  :,,9946468,Nm 40/2 warp/WEFT,,KOS,1,0,KOS,1,202040000,,,,,POM,0,0,A,,D,,D,,0,69,,,0,D,VX,19.03.2021 08:44,UZ,1.10.2021 13:31,,GB,,,,,,0,59119000,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946468,,,
TK. PAN 55/40 - 228CM TATKO,A,9926085,,9939881,TK. PAN 70/40 - 220CM TATKO,1,,,,1,.  .       :  :,,9926085,PAN NM 20/2 95 g/m2,,KOS,1,0,KOS,1,202020000,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,23.02.2010 13:35,U5,3.05.2018 12:44,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9926085,,,,
TK. PAN 70/40 - 228CM TATKO,A,9940182,,9944005,TK. PAN 70/40 - 228CM Q8176 WILKIE,1,,,,1,.  .       :  :,,9940182,PAN NM 24/2,,KOS,1,0,KOS,1,202020000,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,U5,14.07.2016 12:17,VY,13.03.2023 08:30,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9940182,,,,
TK. PAN 70/40 - 228CM TATKO,A,9940182,,9948926,TK. PAN 70/40 - 232CM KONUS S,1,1754,,,,2,.  .       :  :,,9940182,PAN NM 24/2,,KOS,1,0,KOS,1,202020000,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,U5,14.07.2016 12:17,VY,13.03.2023 08:30,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9940182,,,
TK. PAN 70/40 - 232CM KONUS S,A,9948926,,9949376,TK. PAN 75/42 - 232CM Q WILKIE,1,,,,1,.  .       :  :,,9948926,PAN NM 20/2,,KOS,1,0,KOS,1,202020000,,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,VY,3.03.2023 09:23,VY,23.05.2023 10:31,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,N,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9948926,,,,
TK. PES 55/40 BT Š.238 MAJŠPERK,A,9924310,,9910411,TK. PES 5,5/4,0 KW19 BEKINOX Š.235 ELSIN,1,,,,1,.  .       :  :,,9924310,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,15.04.2009 10:40,YK,4.02.2010 14:22,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,A,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924310,,
TK. PES 55/40 KW19 BEKINOX Š.238 VDS,A,9930035,,9910411,TK. PES 5,5/4,0 KW19 BEKINOX Š.235 ELSIN,1,,,9930035                   2,2,.  .       :  :,,9930035,PES 1100DTEX VO + BEKINOX NM 20/2 + O:11 NIT BEKIN,1/1PLAIN, KARA 2X2CM, VOTEK: 8 NIT BEKINOX,KOS,1,0,KOS,1,202060000,,,,,POM,0,0,A,,D,,N,,0,,,0,D,VX,25.07.2011 11:49,VX,19.08.2016 10:39,,,,,,,,0,,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930035
